,pid,lab,ml_e_p,ap_e_p,dv_e_p,ml_t_p,ap_t_p,dv_t_p,phi_p,theta_p,depth_p,ml_e_m,ap_e_m,dv_e_m,ml_t_m,ap_t_m,dv_t_m,phi_m,theta_m,depth_m,ml_e_e,ap_e_e,dv_e_e,ml_t_e,ap_t_e,dv_t_e,phi_e,theta_e,depth_e
279,c42574be-0456-437f-8329-afc5a63b7e78,churchlandlab,4935.000,5170.009,760.571,3801.946,5170.009,7510.435,0.000,10.000,6844.303,4929.000,5167.801,708.576,3855.438,5167.801,7104.033,0.000,10.000,6484.937,4700.000,5575.000,625.000,3747.063,5723.463,6886.746,8.855,8.756,6335.582
280,e88eb9f8-fff3-469a-854d-d16adef19df0,churchlandlab,4439.000,5400.000,735.361,5474.276,5400.000,4793.873,180.000,15.000,4188.474,4484.500,5400.000,631.265,5532.924,5400.000,4741.320,180.000,15.000,4241.668,4400.000,5800.000,550.000,5131.659,5727.472,4084.729,-174.339,11.750,3610.387
281,531423f6-d36d-472b-8234-c8f7b8293f79,churchlandlab,3393.000,7009.936,559.941,4428.276,7009.936,4618.453,180.000,15.000,4188.474,3529.600,7016.835,970.130,4547.199,7016.835,4959.343,180.000,15.000,4116.956,3500.000,7375.000,450.000,4580.930,7896.172,4682.993,154.259,15.828,4399.802
282,ef7e9f3e-a53a-4e00-8f6a-537667af2bea,angelakilab,1375.000,9079.853,2094.605,2410.276,9079.853,6153.117,180.000,15.000,4188.474,1512.000,9133.855,3099.542,2166.372,9133.855,5664.826,180.000,15.000,2647.430,1300.000,9775.000,2500.000,1955.934,9903.895,5003.499,168.883,14.950,2591.210
283,ce0dc660-f19e-46a3-94f9-646bebae6805,angelakilab,1742.000,8849.862,1559.941,1062.167,8849.862,5609.860,0.000,10.000,4106.582,1809.200,8849.770,2619.920,1330.747,8849.770,5470.173,0.000,10.000,2890.131,1625.000,9400.000,1875.000,1386.279,9786.788,5197.428,58.318,7.790,3353.374
284,6e61f777-90b9-4656-af30-9ed54d426c5a,churchlandlab_ucla,7139.000,6549.954,332.000,5353.149,6549.954,7332.933,0.000,15.000,7225.118,7066.300,6477.921,-462.118,5496.511,6477.921,5691.804,0.000,15.000,6350.983,6750.000,6825.000,300.000,5782.554,7817.551,5895.937,45.734,13.911,5765.034
285,fcc167d6-cb53-4dc7-a58f-06a53cfabc84,wittenlab,4439.000,9539.834,586.202,5474.276,9539.834,4644.714,180.000,15.000,4188.474,4439.000,9539.834,586.202,5474.276,9539.834,4644.714,180.000,15.000,4188.474,4325.000,9500.000,500.000,4501.765,9228.771,3868.732,-123.093,5.489,3384.253
286,366dabe3-2790-4511-a7dc-023a1ad9df75,wittenlab,8426.000,11149.770,1610.361,7502.713,11149.770,7110.595,0.000,10.000,5577.189,8426.000,11149.770,1610.361,7502.713,11149.770,7110.595,0.000,10.000,5577.189,7875.000,11450.000,1325.000,7579.977,10744.095,6357.686,-67.318,8.644,5090.508
287,41dc1107-fbcb-4174-a262-19928c355018,danlab,4926.000,6089.972,510.571,3784.611,6089.972,7310.090,0.000,10.000,6894.651,4926.000,6089.972,510.571,3832.016,6089.972,7027.682,0.000,10.000,6608.292,4425.000,6000.000,475.000,4106.988,6351.929,6096.188,47.898,4.823,5641.165
288,b939cc85-6028-404a-995d-28c8405a07db,danlab,4439.000,9539.834,586.202,5474.276,9539.834,4644.714,180.000,15.000,4188.474,4439.000,9539.834,586.202,5474.276,9539.834,4644.714,180.000,15.000,4188.474,4075.000,9550.000,525.000,4839.932,9766.181,4403.624,164.219,11.582,3959.239
