,cluster_ids,avg_fr,avg_fr_base,avg_fr_trial,avg_fr_rxn_time,avg_fr_post_stim,avg_fr_pre_move,avg_fr_pre_moveL,avg_fr_pre_moveR,avg_fr_pre_move_tw,avg_fr_post_move,avg_fr_post_reward,trial,p_trial,post_stim,p_post_stim,pre_move,p_pre_move,pre_move_lr,p_pre_move_lr,start_to_move,p_start_to_move,post_move,p_post_move,post_reward,p_post_reward,avg_ff_post_move,region,x,y,z,p2t,amp,eid,pid,subject,probe,date,lab
433,97,1.8642879273461674,1.268882175226521,2.137462235649319,1.4180639241116908,1.8429003021134613,2.296072507553932,2.6666666666677488,1.9277108433745356,1.6172052268696466,3.1661631419939575,2.03423967774347,True,1.9909284465465306e-06,False,0.3415202810166327,True,0.00010686364528494838,False,0.8317375844589114,False,0.13493315464242644,True,3.353267930320235e-09,True,0.0001734613254438416,1.192790719207512,PO,-0.001584,-0.002263,-0.003647,-0.2,4.396597530815683e-05,88224abb-5746-431f-9c17-17d7ef806e6a,523f8301-4f56-4faf-ab33-a9ff11331118,ZFM-02372,probe00,2021-06-01,mainenlab
434,98,4.033057199281004,2.809667673715703,4.312688821751892,3.2759402791616883,3.2930513595141675,3.967774420948149,3.353535353536827,4.57831325301362,3.751928661201508,5.232628398791541,4.55186304128784,True,1.5011400392987137e-07,False,0.7749908051873485,True,0.0011726111944598643,False,0.11924407452022161,False,0.07026936291574402,True,1.9002931005021558e-08,True,5.535636643883572e-06,1.4055029031908957,PO,-0.001584,-0.002263,-0.003647,0.4,5.404914797087022e-05,88224abb-5746-431f-9c17-17d7ef806e6a,523f8301-4f56-4faf-ab33-a9ff11331118,ZFM-02372,probe00,2021-06-01,mainenlab
435,101,5.698301804904391,4.01812688821699,10.264350453171454,4.367012909770776,5.558912386703811,5.94159113796797,5.090909090911015,6.787148594380005,5.24938505000028,10.006042296072508,36.81772406847144,True,2.054902802080162e-24,True,0.019759373734091437,True,1.5912466260943923e-06,False,0.08759173925007335,True,0.0011235291776919279,True,9.213652336631603e-22,True,5.498813058754078e-52,1.1775723954696669,PO,-0.001595,-0.00226,-0.003631,0.4333333333333333,5.6019843136767394e-05,88224abb-5746-431f-9c17-17d7ef806e6a,523f8301-4f56-4faf-ab33-a9ff11331118,ZFM-02372,probe00,2021-06-01,mainenlab
436,102,3.683991841015576,2.8549848942594425,5.528700906344039,2.3003381984639937,2.567975830814508,3.32326283988043,2.82828282828385,3.815261044178235,2.5586836231016195,7.311178247734139,7.351460221548918,True,4.398924594689316e-19,False,0.22232741819544097,False,0.06622651265974049,False,0.3114188754152268,False,0.954688896632311,True,1.4002021441820524e-27,True,8.021517602260244e-21,0.6466817889925849,PO,-0.001606,-0.002257,-0.003614,0.3333333333333333,3.561330511614761e-05,88224abb-5746-431f-9c17-17d7ef806e6a,523f8301-4f56-4faf-ab33-a9ff11331118,ZFM-02372,probe00,2021-06-01,mainenlab
437,104,2.696170684907299,2.7643504531716756,5.702416918428264,2.371625749283535,2.205438066463405,4.008056394765697,1.6161616161624275,6.385542168678588,2.6283289747902168,8.072507552870091,11.077542799592813,True,5.4558808099346815e-12,False,0.2691258493407929,True,0.0005924570459305516,True,5.984255752163276e-08,False,0.7223767848499344,True,5.2414322265645644e-15,True,8.899612275419821e-25,2.2936792878777337,PO,-0.001606,-0.002257,-0.003614,0.4333333333333333,7.754502519965171e-05,88224abb-5746-431f-9c17-17d7ef806e6a,523f8301-4f56-4faf-ab33-a9ff11331118,ZFM-02372,probe00,2021-06-01,mainenlab
438,107,5.277606206655925,3.610271903322892,7.41691842900244,3.4652072515247587,4.833836858003565,3.82678751258928,3.5151515151524673,4.136546184740328,3.712398741053583,8.845921450151057,12.87009063443853,True,1.0206928588691657e-16,False,0.2691258493407929,False,0.9186672467934387,False,0.5693513826574429,False,0.9133867186755099,True,2.329936228429962e-19,True,6.771403069231029e-23,1.5621463049297892,PO,-0.001595,-0.00226,-0.003631,0.4333333333333333,5.750112216544551e-05,88224abb-5746-431f-9c17-17d7ef806e6a,523f8301-4f56-4faf-ab33-a9ff11331118,ZFM-02372,probe00,2021-06-01,mainenlab
439,109,5.8964999320551,6.208459214500673,7.001510574017513,6.347272961215775,7.85498489425559,6.807653575027909,6.828282828285658,6.787148594380147,6.424386202500417,5.643504531722054,14.602215508556206,True,0.016321379607624642,False,0.12723096517036228,False,0.18101831366521687,False,0.9772810687405765,False,0.7292512583060619,False,0.3632095971585127,True,2.018441012304204e-12,1.724298292808095,PO,-0.001606,-0.002257,-0.003614,0.4666666666666667,5.5951683257689034e-05,88224abb-5746-431f-9c17-17d7ef806e6a,523f8301-4f56-4faf-ab33-a9ff11331118,ZFM-02372,probe00,2021-06-01,mainenlab
440,110,3.8126727146134245,3.82175226586067,3.874622356495198,2.9757337332840437,3.172205438064967,2.860020140987842,2.0606060606066485,3.6546184738968592,2.962880181941872,3.697885196374622,7.12990936555774,False,0.6169899094062969,False,0.19396742389486335,True,0.025821835523122415,False,0.3292691368701215,False,0.07026936291574402,False,0.3712689569317109,True,6.178471017147165e-07,2.3103096515003942,PO,-0.001617,-0.002255,-0.003598,0.4333333333333333,4.284807134517127e-05,88224abb-5746-431f-9c17-17d7ef806e6a,523f8301-4f56-4faf-ab33-a9ff11331118,ZFM-02372,probe00,2021-06-01,mainenlab
441,112,11.71756624855284,6.087613293050481,37.52265861026947,6.116425372163662,9.848942598181301,23.867069486414763,16.44444444445139,31.24497991969162,6.880874115005343,56.096676737160124,75.0453172205272,True,1.2884736326660274e-47,False,0.2691258493407929,True,9.444091531401945e-35,True,1.521829812728056e-08,False,0.11050234237407935,True,5.777720071868616e-53,True,8.278735877996489e-54,1.5459209031722885,PO,-0.001617,-0.002255,-0.003598,0.3666666666666667,5.521753532538421e-05,88224abb-5746-431f-9c17-17d7ef806e6a,523f8301-4f56-4faf-ab33-a9ff11331118,ZFM-02372,probe00,2021-06-01,mainenlab
442,113,5.451716288502603,5.709969788519239,6.351963746223168,6.125027022707723,6.283987915404365,6.787512588119118,7.070707070709172,6.506024096388043,6.7253380807942325,7.033232628398792,5.297079556897462,True,0.02071338624769634,False,0.8425980042446919,False,0.05498807304935516,False,0.8276205423592414,False,0.08640121550329719,True,0.00018192961591318463,False,0.1856955018360707,0.7180534989045624,PO,-0.001628,-0.002252,-0.003581,0.4,3.648448290083811e-05,88224abb-5746-431f-9c17-17d7ef806e6a,523f8301-4f56-4faf-ab33-a9ff11331118,ZFM-02372,probe00,2021-06-01,mainenlab
