,unit_id,left_right_ccf_coordinate,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,firing_rate,percentile_rank,color,size_scale
2300,1179693591,7010.0,8424.0,3001.0,6.49354552984097,0.7123314723851379,#7649a2,0.07422506955257319
2400,1098221283,7356.0,8265.0,2857.0,6.67066279855578,0.7198578114371514,#7447a1,0.0748059557316349
2500,1098221542,7042.0,8440.0,3755.0,0.015799970702542,0.03632767316692423,#f6f2f9,0.03684245744326869
2600,1098221505,7459.0,8031.0,1885.0,0.14941046120726,0.12736158087601446,#e4dced,0.040486866362500415
2700,1098221438,7500.0,7732.0,833.0,4.80096425206436,0.6248460094102748,#865fae,0.06779237951496195
2800,1163292773,7902.0,8680.0,4066.0,5.88748028475637,0.6845489055304956,#7b50a6,0.07211863284668384
2900,1163292694,9126.0,7836.0,1801.0,1.91465654360319,0.3753420706993132,#b69dcd,0.05234850746926966
3000,1163292612,8121.0,8522.0,3605.0,5.59671864431817,0.6700761410976982,#7e53a8,0.07104513617871226
3100,1163292426,7889.0,8689.0,4091.0,4.08355727043314,0.576669289339306,#906bb4,0.06449149983805791
3200,1163292676,8871.0,7907.0,2145.0,3.31669066899306,0.5152517295533411,#9b7abc,0.06051507242552063
3300,1094998769,9461.0,9075.0,2388.0,6.81850806638439,0.725832489585064,#7345a1,0.07527060904341372
3400,1094998628,9106.0,8905.0,2999.0,6.38590270926336,0.7078050110810531,#774aa3,0.0738777550827345
3500,1094998941,9165.0,8933.0,2900.0,0.0178841255756982,0.03903289207649845,#f5f2f9,0.03694585400627751
3600,1094998547,8740.0,8735.0,3617.0,1.27802712767874,0.3026585123490265,#c3b0d7,0.048550955527500786
3700,1094998934,8785.0,8752.0,3543.0,0.0580969523139545,0.08408434765981324,#ede6f3,0.038711395498597506
3800,1094999333,9603.0,8672.0,1999.0,0.319372721779699,0.16997112970317824,#dcd1e8,0.042314288403198556
3900,1094999405,9108.0,8677.0,2665.0,2.09803962293052,0.39532558234303933,#b298cb,0.05344374306221366
4000,1094999094,8509.0,8667.0,3504.0,12.5138444230002,0.8732653528226122,#57208e,0.08769417134020922
4100,1094999297,9545.0,8672.0,2069.0,3.47775517845196,0.5292542937121685,#9877ba,0.06139954755424857
4200,1082859288,7377.0,7755.0,777.0,0.96164508683286,0.2656380774451198,#cab9db,0.04672376000881951
4300,1082859059,7190.0,7890.0,1572.0,4.33010503396707,0.5940792381501694,#8c66b1,0.06566539059059336
4400,1082859208,7419.0,7733.0,643.0,0.52940813816165,0.20790688780707997,#d5c7e3,0.04401082580687569
4500,1082859273,7299.0,7809.0,1092.0,1.3424883311389,0.3102444101024096,#c2aed6,0.04893394797904792
4600,1082859262,7180.0,7897.0,1613.0,0.214158095921676,0.14577148893618755,#e1d7eb,0.04126652808168915
4700,1082859536,7072.0,8436.0,2498.0,5.62592862340599,0.6714742032456358,#7e53a8,0.0711483125300436
4800,1082859736,7071.0,8592.0,553.0,1.26395834815013,0.3009751953682138,#c4b0d7,0.04846628747066576
4900,1082859781,6991.0,8404.0,3114.0,9.47407143134294,0.8123869560174664,#633096,0.08233331170329619
5000,1082859456,7002.0,8407.0,3039.0,42.2239231279917,0.9899157714575895,#41037f,0.09896057123433229
5100,1082859362,6922.0,8391.0,3822.0,5.53002970446938,0.6667345844840179,#7e54a8,0.0707997760954191
5200,1082873149,7546.0,7949.0,1758.0,9.9036230667967,0.8227313620448069,#612d94,0.08322054532792869
5300,1082873388,7540.0,7693.0,1024.0,1.27764017711904,0.3025926843106707,#c3b0d7,0.04854764448617204
5400,1082873581,7569.0,7545.0,547.0,0.62818792671828,0.22253638566453404,#d2c4e1,0.04468305211347213
5500,1082873054,7265.0,8237.0,2757.0,6.7193167829366,0.7218013059028943,#7446a1,0.07495695428208454
5600,1082874685,7474.0,8056.0,582.0,0.0832764774967631,0.10108052022958312,#e9e2f1,0.03939918356603052
